read_id	region	total_matches	total_deletion_occurrences	total_insertion_occurrences	total_length_deletions	total_length_insertions	min_match	max_match	mode_match	median_matches	mean_matches	stdev_matches	min_deletion	max_deletion	mode_deletion	median_deletion	mean_deletion	stdev_deletion	min_insertion	max_insertion	mode_insertion	median_insertion	mean_insertion	stdev_insertion
35142bde-548d-4f55-bf50-21c4cdd254da	chr1:92783745-92783946	198	3	0	4	0	3	389	5	8.0	11.52020202020202	28.807026355937385	1	2	1	1	1.3333333333333333	0.5773502691896257	.	.	.	.	.	.
ceb3cf5a-6b14-4800-b758-d9bdaaab3a4f	chr1:92783745-92783946	200	2	0	2	0	3	88	6	7.0	9.61	8.35324990166091	1	1	1	1.0	1	0.0	.	.	.	.	.	.
bb826c1c-2559-475b-a04c-8b4ffc1e02ca	chr1:92783745-92783946	200	2	0	2	0	3	138	3	8.0	12.135	15.45480605348232	1	1	1	1.0	1	0.0	.	.	.	.	.	.
dfe7fb1f-84d7-4558-9b70-cc47a6d5739e	chr1:92783745-92783946	200	1	0	2	0	3	36	3	7.0	8.75	6.34022810806611	.	.	.	.	.	.	.	.	.	.	.	.
251256d6-1c5d-4756-91bf-8fa5dc6fd1c8	chr1:92783745-92783946	197	4	0	5	0	3	73	3	7	10.791878172588833	10.488688514804535	1	2	1	1.0	1.25	0.5	.	.	.	.	.	.
dff428ea-dbaf-4b74-ac36-965248c23512	chr1:92783745-92783946	201	1	0	1	0	3	56	6	7	9.786069651741293	7.981792090447131	.	.	.	.	.	.	.	.	.	.	.	.
e590aad4-9a7f-4d63-8455-381460793a42	chr1:92783745-92783946	197	3	0	5	0	3	63	3	7	9.461928934010153	8.056865644612179	1	2	2	2	1.6666666666666667	0.5773502691896257	.	.	.	.	.	.
30ce3998-110a-4bfe-b699-2b9bf7cec9e9	chr1:92783745-92783946	202	0	0	0	0	3	105	5	7.0	10.490099009900991	11.566050895767388	.	.	.	.	.	.	.	.	.	.	.	.
2babd419-2e01-454a-b7f4-08ad9d4e2a9e	chr1:92783745-92783946	199	3	0	3	0	3	53	6	7	10.080402010050252	8.839967082483389	1	1	1	1	1	0.0	.	.	.	.	.	.
abf62234-4626-4c85-a9a5-b2ef78353d88	chr1:92783745-92783946	199	2	0	3	0	3	81	4	7	10.165829145728644	10.149271665710735	1	2	1	1.5	1.5	0.7071067811865476	.	.	.	.	.	.
04ca335e-0409-42e7-b612-f38fd19aa7a2	chr1:92783745-92783946	195	3	0	7	0	3	77	3	7	9.482051282051282	8.911560654359352	1	4	4	2	2.3333333333333335	1.5275252316519468	.	.	.	.	.	.
c687fd14-ec61-4509-a4c3-8a010ee66aa3	chr1:92783745-92783946	198	2	0	4	0	3	93	5	7.0	9.343434343434344	8.76328475624395	2	2	2	2.0	2	0.0	.	.	.	.	.	.
efd5f359-9da2-487d-a4fd-ac4db77ea862	chr1:92783745-92783946	200	2	0	2	0	3	49	3	7.0	9.33	8.138937987095671	1	1	1	1.0	1	0.0	.	.	.	.	.	.
725b1c0e-f419-4baa-bfef-95338d79dbbf	chr1:92783745-92783946	196	4	0	6	0	3	86	5	7.5	10.801020408163266	9.864528474810674	1	2	1	1.5	1.5	0.5773502691896257	.	.	.	.	.	.
d2d2c018-f49f-436b-a038-e441f95a49ad	chr1:92783745-92783946	201	1	0	1	0	3	108	3	7	9.935323383084578	11.246368125750664	.	.	.	.	.	.	.	.	.	.	.	.
391e47b9-3e4f-46f0-bbc7-2a94cd01df6a	chr1:92783745-92783946	197	2	0	5	0	3	42	4	7	9.944162436548224	7.863110002553395	1	4	4	2.5	2.5	2.1213203435596424	.	.	.	.	.	.
5ae057b3-cde0-4248-a905-d18a75079ba2	chr1:92783745-92783946	193	5	0	9	0	3	54	3	7	10.010362694300518	8.243046082725389	1	3	1	2	1.8	0.8366600265340756	.	.	.	.	.	.
